[2020-09-09 12:07:28] producer.DEBUG: Running producer... [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 13 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 14 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 15 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 16 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 17 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 18 [] []
[2020-09-09 12:07:28] producer.DEBUG: Producing: Message 19 [] []
[2020-09-09 12:07:35] producer.DEBUG: Running producer... [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 13 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 14 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 15 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 16 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 17 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 18 [] []
[2020-09-09 12:07:35] producer.DEBUG: Producing: Message 19 [] []
[2020-09-09 12:07:43] producer.DEBUG: Running producer... [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 13 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 14 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 15 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 16 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 17 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 18 [] []
[2020-09-09 12:07:43] producer.DEBUG: Producing: Message 19 [] []
[2020-09-09 12:08:45] producer.DEBUG: Running producer... [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 13 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 14 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 15 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 16 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 17 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 18 [] []
[2020-09-09 12:08:46] producer.DEBUG: Producing: Message 19 [] []
[2020-09-09 12:09:20] producer.DEBUG: Running producer... [] []
[2020-09-09 12:09:20] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:09:20] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:09:20] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:09:20] producer.DEBUG: Producing: Message 13 [] []
